"Species","Year","Rate","PARAMETER","param.descr","value"
"HETH",2012,272.674627068805,"RH2M","Relative Humidity at 2 Meters (%) ",66.86
"HETH",2012,272.674627068805,"T2M","Temperature at 2 Meters (C) ",13.82
"HETH",2012,272.674627068805,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.4
"HETH",2012,272.674627068805,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.17
"HETH",2012,272.674627068805,"PS","Surface Pressure (kPa) ",98.85
"HETH",2012,272.674627068805,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.96
"HETH",2012,272.674627068805,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.72
"HETH",2012,272.674627068805,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.59
"HETH",2012,272.674627068805,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.75
"HETH",2012,272.674627068805,"WS2M","Wind Speed at 2 Meters (m/s) ",1.77
"HETH",2012,272.674627068805,"WS10M","Wind Speed at 10 Meters (m/s) ",3.07
"HETH",2012,272.674627068805,NA,"Populationpersons",1838370
"HETH",2012,272.674627068805,NA,"Percapitapersonalincome",72792
"HETH",2012,272.674627068805,NA,"Farmproprietorsincome",94360
"HETH",2012,272.674627068805,NA,"Nonfarmproprietorsincome",10271124
"HETH",2012,272.674627068805,NA,"Farmproprietorsemployment",820
"HETH",2012,272.674627068805,NA,"Nonfarmproprietorsemployment",228762
"HETH",2013,235.344276253648,"PRECTOT","Precipitation (mm day-1) ",120.46
"HETH",2013,235.344276253648,"RH2M","Relative Humidity at 2 Meters (%) ",63.67
"HETH",2013,235.344276253648,"T2M","Temperature at 2 Meters (C) ",14.04
"HETH",2013,235.344276253648,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.97
"HETH",2013,235.344276253648,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.25
"HETH",2013,235.344276253648,"PS","Surface Pressure (kPa) ",98.88
"HETH",2013,235.344276253648,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.91
"HETH",2013,235.344276253648,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.57
"HETH",2013,235.344276253648,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.36
"HETH",2013,235.344276253648,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.67
"HETH",2013,235.344276253648,"WS2M","Wind Speed at 2 Meters (m/s) ",1.67
"HETH",2013,235.344276253648,"WS10M","Wind Speed at 10 Meters (m/s) ",2.91
"HETH",2013,235.344276253648,NA,"Populationpersons",1867302
"HETH",2013,235.344276253648,NA,"Percapitapersonalincome",72927
"HETH",2013,235.344276253648,NA,"Farmproprietorsincome",105915
"HETH",2013,235.344276253648,NA,"Nonfarmproprietorsincome",10035449
"HETH",2013,235.344276253648,NA,"Farmproprietorsemployment",834
"HETH",2013,235.344276253648,NA,"Nonfarmproprietorsemployment",233578
"HETH",2014,381.161573577628,"PRECTOT","Precipitation (mm day-1) ",559.98
"HETH",2014,381.161573577628,"RH2M","Relative Humidity at 2 Meters (%) ",65.03
"HETH",2014,381.161573577628,"T2M","Temperature at 2 Meters (C) ",15.67
"HETH",2014,381.161573577628,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",23.41
"HETH",2014,381.161573577628,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",10.01
"HETH",2014,381.161573577628,"PS","Surface Pressure (kPa) ",98.81
"HETH",2014,381.161573577628,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.89
"HETH",2014,381.161573577628,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.57
"HETH",2014,381.161573577628,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.33
"HETH",2014,381.161573577628,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.61
"HETH",2014,381.161573577628,"WS2M","Wind Speed at 2 Meters (m/s) ",1.63
"HETH",2014,381.161573577628,"WS10M","Wind Speed at 10 Meters (m/s) ",2.84
"HETH",2014,381.161573577628,NA,"Populationpersons",1892984
"HETH",2014,381.161573577628,NA,"Percapitapersonalincome",79055
"HETH",2014,381.161573577628,NA,"Farmproprietorsincome",115041
"HETH",2014,381.161573577628,NA,"Nonfarmproprietorsincome",10592419
"HETH",2014,381.161573577628,NA,"Farmproprietorsemployment",800
"HETH",2014,381.161573577628,NA,"Nonfarmproprietorsemployment",238672
"HETH",2015,294.045275590551,"PRECTOT","Precipitation (mm day-1) ",302.7
"HETH",2015,294.045275590551,"RH2M","Relative Humidity at 2 Meters (%) ",67.94
"HETH",2015,294.045275590551,"T2M","Temperature at 2 Meters (C) ",15.1
"HETH",2015,294.045275590551,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",22.42
"HETH",2015,294.045275590551,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.76
"HETH",2015,294.045275590551,"PS","Surface Pressure (kPa) ",98.83
"HETH",2015,294.045275590551,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.89
"HETH",2015,294.045275590551,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.51
"HETH",2015,294.045275590551,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.24
"HETH",2015,294.045275590551,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.6
"HETH",2015,294.045275590551,"WS2M","Wind Speed at 2 Meters (m/s) ",1.62
"HETH",2015,294.045275590551,"WS10M","Wind Speed at 10 Meters (m/s) ",2.81
"HETH",2015,294.045275590551,NA,"Populationpersons",1917481
"HETH",2015,294.045275590551,NA,"Percapitapersonalincome",86188
"HETH",2015,294.045275590551,NA,"Farmproprietorsincome",195080
"HETH",2015,294.045275590551,NA,"Nonfarmproprietorsincome",11082780
"HETH",2015,294.045275590551,NA,"Farmproprietorsemployment",798
"HETH",2015,294.045275590551,NA,"Nonfarmproprietorsemployment",250472
"HETH",2016,210.14361717715,"PRECTOT","Precipitation (mm day-1) ",643.39
"HETH",2016,210.14361717715,"RH2M","Relative Humidity at 2 Meters (%) ",70.72
"HETH",2016,210.14361717715,"T2M","Temperature at 2 Meters (C) ",14.55
"HETH",2016,210.14361717715,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.6
"HETH",2016,210.14361717715,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.24
"HETH",2016,210.14361717715,"PS","Surface Pressure (kPa) ",98.86
"HETH",2016,210.14361717715,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.92
"HETH",2016,210.14361717715,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.61
"HETH",2016,210.14361717715,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.42
"HETH",2016,210.14361717715,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.69
"HETH",2016,210.14361717715,"WS2M","Wind Speed at 2 Meters (m/s) ",1.69
"HETH",2016,210.14361717715,"WS10M","Wind Speed at 10 Meters (m/s) ",2.95
"HETH",2016,210.14361717715,NA,"Populationpersons",1929581
"HETH",2016,210.14361717715,NA,"Percapitapersonalincome",92505
"HETH",2016,210.14361717715,NA,"Farmproprietorsincome",184309
"HETH",2016,210.14361717715,NA,"Nonfarmproprietorsincome",11798880
"HETH",2016,210.14361717715,NA,"Farmproprietorsemployment",774
"HETH",2016,210.14361717715,NA,"Nonfarmproprietorsemployment",254901
"HETH",2017,304.091482110583,"PRECTOT","Precipitation (mm day-1) ",716.61
"HETH",2017,304.091482110583,"RH2M","Relative Humidity at 2 Meters (%) ",67.4
"HETH",2017,304.091482110583,"T2M","Temperature at 2 Meters (C) ",14.75
"HETH",2017,304.091482110583,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.92
"HETH",2017,304.091482110583,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.37
"HETH",2017,304.091482110583,"PS","Surface Pressure (kPa) ",98.81
"HETH",2017,304.091482110583,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.92
"HETH",2017,304.091482110583,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.6
"HETH",2017,304.091482110583,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.42
"HETH",2017,304.091482110583,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.68
"HETH",2017,304.091482110583,"WS2M","Wind Speed at 2 Meters (m/s) ",1.68
"HETH",2017,304.091482110583,"WS10M","Wind Speed at 10 Meters (m/s) ",2.95
"HETH",2017,304.091482110583,NA,"Populationpersons",1933383
"HETH",2017,304.091482110583,NA,"Percapitapersonalincome",100177
"HETH",2017,304.091482110583,NA,"Farmproprietorsincome",166661
"HETH",2017,304.091482110583,NA,"Nonfarmproprietorsincome",13496231
"HETH",2017,304.091482110583,NA,"Farmproprietorsemployment",767
"HETH",2017,304.091482110583,NA,"Nonfarmproprietorsemployment",263510
"RCKI",1996,212.171052631579,"PRECTOT","Precipitation (mm day-1) ",847.76
"RCKI",1996,212.171052631579,"RH2M","Relative Humidity at 2 Meters (%) ",68.96
"RCKI",1996,212.171052631579,"T2M","Temperature at 2 Meters (C) ",14.56
"RCKI",1996,212.171052631579,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.84
"RCKI",1996,212.171052631579,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.01
"RCKI",1996,212.171052631579,"PS","Surface Pressure (kPa) ",98.8
"RCKI",1996,212.171052631579,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.9
"RCKI",1996,212.171052631579,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.68
"RCKI",1996,212.171052631579,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.56
"RCKI",1996,212.171052631579,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.69
"RCKI",1996,212.171052631579,"WS2M","Wind Speed at 2 Meters (m/s) ",1.71
"RCKI",1996,212.171052631579,"WS10M","Wind Speed at 10 Meters (m/s) ",3.01
"RCKI",1996,212.171052631579,NA,"Populationpersons",1608695
"RCKI",1996,212.171052631579,NA,"Percapitapersonalincome",34005
"RCKI",1996,212.171052631579,NA,"Farmproprietorsincome",30198
"RCKI",1996,212.171052631579,NA,"Nonfarmproprietorsincome",4126742
"RCKI",1996,212.171052631579,NA,"Farmproprietorsemployment",1140
"RCKI",1996,212.171052631579,NA,"Nonfarmproprietorsemployment",176001
"RCKI",1997,189.929630388741,"PRECTOT","Precipitation (mm day-1) ",498.01
"RCKI",1997,189.929630388741,"RH2M","Relative Humidity at 2 Meters (%) ",68.92
"RCKI",1997,189.929630388741,"T2M","Temperature at 2 Meters (C) ",14.59
"RCKI",1997,189.929630388741,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",22.01
"RCKI",1997,189.929630388741,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.98
"RCKI",1997,189.929630388741,"PS","Surface Pressure (kPa) ",98.81
"RCKI",1997,189.929630388741,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",1
"RCKI",1997,189.929630388741,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.78
"RCKI",1997,189.929630388741,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.71
"RCKI",1997,189.929630388741,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.89
"RCKI",1997,189.929630388741,"WS2M","Wind Speed at 2 Meters (m/s) ",1.81
"RCKI",1997,189.929630388741,"WS10M","Wind Speed at 10 Meters (m/s) ",3.17
"RCKI",1997,189.929630388741,NA,"Populationpersons",1637414
"RCKI",1997,189.929630388741,NA,"Percapitapersonalincome",37053
"RCKI",1997,189.929630388741,NA,"Farmproprietorsincome",46862
"RCKI",1997,189.929630388741,NA,"Nonfarmproprietorsincome",4835677
"RCKI",1997,189.929630388741,NA,"Farmproprietorsemployment",1160
"RCKI",1997,189.929630388741,NA,"Nonfarmproprietorsemployment",174912
"RCKI",1998,161.021428861871,"PRECTOT","Precipitation (mm day-1) ",899.91
"RCKI",1998,161.021428861871,"RH2M","Relative Humidity at 2 Meters (%) ",74.22
"RCKI",1998,161.021428861871,"T2M","Temperature at 2 Meters (C) ",13.37
"RCKI",1998,161.021428861871,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",19.71
"RCKI",1998,161.021428861871,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.5
"RCKI",1998,161.021428861871,"PS","Surface Pressure (kPa) ",98.77
"RCKI",1998,161.021428861871,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.92
"RCKI",1998,161.021428861871,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.67
"RCKI",1998,161.021428861871,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.51
"RCKI",1998,161.021428861871,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.73
"RCKI",1998,161.021428861871,"WS2M","Wind Speed at 2 Meters (m/s) ",1.72
"RCKI",1998,161.021428861871,"WS10M","Wind Speed at 10 Meters (m/s) ",3.01
"RCKI",1998,161.021428861871,NA,"Populationpersons",1658960
"RCKI",1998,161.021428861871,NA,"Percapitapersonalincome",39600
"RCKI",1998,161.021428861871,NA,"Farmproprietorsincome",48424
"RCKI",1998,161.021428861871,NA,"Nonfarmproprietorsincome",5172508
"RCKI",1998,161.021428861871,NA,"Farmproprietorsemployment",1161
"RCKI",1998,161.021428861871,NA,"Nonfarmproprietorsemployment",182029
"RCKI",1999,173.814257293517,"PRECTOT","Precipitation (mm day-1) ",457.46
"RCKI",1999,173.814257293517,"RH2M","Relative Humidity at 2 Meters (%) ",67.86
"RCKI",1999,173.814257293517,"T2M","Temperature at 2 Meters (C) ",13.3
"RCKI",1999,173.814257293517,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",20.82
"RCKI",1999,173.814257293517,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",7.79
"RCKI",1999,173.814257293517,"PS","Surface Pressure (kPa) ",98.92
"RCKI",1999,173.814257293517,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.97
"RCKI",1999,173.814257293517,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.62
"RCKI",1999,173.814257293517,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.44
"RCKI",1999,173.814257293517,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.78
"RCKI",1999,173.814257293517,"WS2M","Wind Speed at 2 Meters (m/s) ",1.74
"RCKI",1999,173.814257293517,"WS10M","Wind Speed at 10 Meters (m/s) ",3.03
"RCKI",1999,173.814257293517,NA,"Populationpersons",1671498
"RCKI",1999,173.814257293517,NA,"Percapitapersonalincome",44124
"RCKI",1999,173.814257293517,NA,"Farmproprietorsincome",48078
"RCKI",1999,173.814257293517,NA,"Nonfarmproprietorsincome",5242916
"RCKI",1999,173.814257293517,NA,"Farmproprietorsemployment",1141
"RCKI",1999,173.814257293517,NA,"Nonfarmproprietorsemployment",175794
"RCKI",2000,166.614486213919,"PRECTOT","Precipitation (mm day-1) ",560.49
"RCKI",2000,166.614486213919,"RH2M","Relative Humidity at 2 Meters (%) ",70.42
"RCKI",2000,166.614486213919,"T2M","Temperature at 2 Meters (C) ",13.78
"RCKI",2000,166.614486213919,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",20.94
"RCKI",2000,166.614486213919,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.47
"RCKI",2000,166.614486213919,"PS","Surface Pressure (kPa) ",98.87
"RCKI",2000,166.614486213919,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.94
"RCKI",2000,166.614486213919,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.58
"RCKI",2000,166.614486213919,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.36
"RCKI",2000,166.614486213919,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.75
"RCKI",2000,166.614486213919,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"RCKI",2000,166.614486213919,"WS10M","Wind Speed at 10 Meters (m/s) ",2.97
"RCKI",2000,166.614486213919,NA,"Populationpersons",1684947
"RCKI",2000,166.614486213919,NA,"Percapitapersonalincome",54686
"RCKI",2000,166.614486213919,NA,"Farmproprietorsincome",134262
"RCKI",2000,166.614486213919,NA,"Nonfarmproprietorsincome",5835942
"RCKI",2000,166.614486213919,NA,"Farmproprietorsemployment",1123
"RCKI",2000,166.614486213919,NA,"Nonfarmproprietorsemployment",172999
"RCKI",2001,230.152174707486,"PRECTOT","Precipitation (mm day-1) ",628.37
"RCKI",2001,230.152174707486,"RH2M","Relative Humidity at 2 Meters (%) ",68.31
"RCKI",2001,230.152174707486,"T2M","Temperature at 2 Meters (C) ",14.06
"RCKI",2001,230.152174707486,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.47
"RCKI",2001,230.152174707486,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.49
"RCKI",2001,230.152174707486,"PS","Surface Pressure (kPa) ",98.81
"RCKI",2001,230.152174707486,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.95
"RCKI",2001,230.152174707486,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.7
"RCKI",2001,230.152174707486,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.57
"RCKI",2001,230.152174707486,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.75
"RCKI",2001,230.152174707486,"WS2M","Wind Speed at 2 Meters (m/s) ",1.75
"RCKI",2001,230.152174707486,"WS10M","Wind Speed at 10 Meters (m/s) ",3.04
"RCKI",2001,230.152174707486,NA,"Populationpersons",1688082
"RCKI",2001,230.152174707486,NA,"Percapitapersonalincome",51385
"RCKI",2001,230.152174707486,NA,"Farmproprietorsincome",90187
"RCKI",2001,230.152174707486,NA,"Nonfarmproprietorsincome",8373294
"RCKI",2001,230.152174707486,NA,"Farmproprietorsemployment",1025
"RCKI",2001,230.152174707486,NA,"Nonfarmproprietorsemployment",163085
"RCKI",2002,302.919037946958,"PRECTOT","Precipitation (mm day-1) ",490.39
"RCKI",2002,302.919037946958,"RH2M","Relative Humidity at 2 Meters (%) ",68.08
"RCKI",2002,302.919037946958,"T2M","Temperature at 2 Meters (C) ",13.85
"RCKI",2002,302.919037946958,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.27
"RCKI",2002,302.919037946958,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.39
"RCKI",2002,302.919037946958,"PS","Surface Pressure (kPa) ",98.87
"RCKI",2002,302.919037946958,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.96
"RCKI",2002,302.919037946958,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.59
"RCKI",2002,302.919037946958,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.38
"RCKI",2002,302.919037946958,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.76
"RCKI",2002,302.919037946958,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"RCKI",2002,302.919037946958,"WS10M","Wind Speed at 10 Meters (m/s) ",2.96
"RCKI",2002,302.919037946958,NA,"Populationpersons",1669348
"RCKI",2002,302.919037946958,NA,"Percapitapersonalincome",48667
"RCKI",2002,302.919037946958,NA,"Farmproprietorsincome",62487
"RCKI",2002,302.919037946958,NA,"Nonfarmproprietorsincome",9089287
"RCKI",2002,302.919037946958,NA,"Farmproprietorsemployment",948
"RCKI",2002,302.919037946958,NA,"Nonfarmproprietorsemployment",167524
"RCKI",2003,174.614331693241,"PRECTOT","Precipitation (mm day-1) ",452.78
"RCKI",2003,174.614331693241,"RH2M","Relative Humidity at 2 Meters (%) ",69.45
"RCKI",2003,174.614331693241,"T2M","Temperature at 2 Meters (C) ",14.4
"RCKI",2003,174.614331693241,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.57
"RCKI",2003,174.614331693241,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.02
"RCKI",2003,174.614331693241,"PS","Surface Pressure (kPa) ",98.82
"RCKI",2003,174.614331693241,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.91
"RCKI",2003,174.614331693241,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.58
"RCKI",2003,174.614331693241,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.37
"RCKI",2003,174.614331693241,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.69
"RCKI",2003,174.614331693241,"WS2M","Wind Speed at 2 Meters (m/s) ",1.66
"RCKI",2003,174.614331693241,"WS10M","Wind Speed at 10 Meters (m/s) ",2.91
"RCKI",2003,174.614331693241,NA,"Populationpersons",1663592
"RCKI",2003,174.614331693241,NA,"Percapitapersonalincome",49182
"RCKI",2003,174.614331693241,NA,"Farmproprietorsincome",51772
"RCKI",2003,174.614331693241,NA,"Nonfarmproprietorsincome",8707737
"RCKI",2003,174.614331693241,NA,"Farmproprietorsemployment",891
"RCKI",2003,174.614331693241,NA,"Nonfarmproprietorsemployment",180965
"RCKI",2004,337.23653393528,"PRECTOT","Precipitation (mm day-1) ",454.93
"RCKI",2004,337.23653393528,"RH2M","Relative Humidity at 2 Meters (%) ",68.56
"RCKI",2004,337.23653393528,"T2M","Temperature at 2 Meters (C) ",14.24
"RCKI",2004,337.23653393528,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.54
"RCKI",2004,337.23653393528,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.81
"RCKI",2004,337.23653393528,"PS","Surface Pressure (kPa) ",98.83
"RCKI",2004,337.23653393528,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.95
"RCKI",2004,337.23653393528,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.66
"RCKI",2004,337.23653393528,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.5
"RCKI",2004,337.23653393528,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.77
"RCKI",2004,337.23653393528,"WS2M","Wind Speed at 2 Meters (m/s) ",1.73
"RCKI",2004,337.23653393528,"WS10M","Wind Speed at 10 Meters (m/s) ",3.02
"RCKI",2004,337.23653393528,NA,"Populationpersons",1663167
"RCKI",2004,337.23653393528,NA,"Percapitapersonalincome",50837
"RCKI",2004,337.23653393528,NA,"Farmproprietorsincome",45419
"RCKI",2004,337.23653393528,NA,"Nonfarmproprietorsincome",7251911
"RCKI",2004,337.23653393528,NA,"Farmproprietorsemployment",857
"RCKI",2004,337.23653393528,NA,"Nonfarmproprietorsemployment",192893
"RCKI",2005,187.29189787824,"PRECTOT","Precipitation (mm day-1) ",605.8
"RCKI",2005,187.29189787824,"RH2M","Relative Humidity at 2 Meters (%) ",70.67
"RCKI",2005,187.29189787824,"T2M","Temperature at 2 Meters (C) ",14.25
"RCKI",2005,187.29189787824,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.33
"RCKI",2005,187.29189787824,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.88
"RCKI",2005,187.29189787824,"PS","Surface Pressure (kPa) ",98.8
"RCKI",2005,187.29189787824,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.89
"RCKI",2005,187.29189787824,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.56
"RCKI",2005,187.29189787824,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.34
"RCKI",2005,187.29189787824,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.67
"RCKI",2005,187.29189787824,"WS2M","Wind Speed at 2 Meters (m/s) ",1.65
"RCKI",2005,187.29189787824,"WS10M","Wind Speed at 10 Meters (m/s) ",2.89
"RCKI",2005,187.29189787824,NA,"Populationpersons",1675312
"RCKI",2005,187.29189787824,NA,"Percapitapersonalincome",53433
"RCKI",2005,187.29189787824,NA,"Farmproprietorsincome",34964
"RCKI",2005,187.29189787824,NA,"Nonfarmproprietorsincome",6863366
"RCKI",2005,187.29189787824,NA,"Farmproprietorsemployment",850
"RCKI",2005,187.29189787824,NA,"Nonfarmproprietorsemployment",196156
"RCKI",2006,378.966455122393,"PRECTOT","Precipitation (mm day-1) ",523.96
"RCKI",2006,378.966455122393,"RH2M","Relative Humidity at 2 Meters (%) ",70.24
"RCKI",2006,378.966455122393,"T2M","Temperature at 2 Meters (C) ",13.85
"RCKI",2006,378.966455122393,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.03
"RCKI",2006,378.966455122393,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.46
"RCKI",2006,378.966455122393,"PS","Surface Pressure (kPa) ",98.84
"RCKI",2006,378.966455122393,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.86
"RCKI",2006,378.966455122393,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.5
"RCKI",2006,378.966455122393,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.23
"RCKI",2006,378.966455122393,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.59
"RCKI",2006,378.966455122393,"WS2M","Wind Speed at 2 Meters (m/s) ",1.62
"RCKI",2006,378.966455122393,"WS10M","Wind Speed at 10 Meters (m/s) ",2.82
"RCKI",2006,378.966455122393,NA,"Populationpersons",1691159
"RCKI",2006,378.966455122393,NA,"Percapitapersonalincome",58389
"RCKI",2006,378.966455122393,NA,"Farmproprietorsincome",34981
"RCKI",2006,378.966455122393,NA,"Nonfarmproprietorsincome",7584723
"RCKI",2006,378.966455122393,NA,"Farmproprietorsemployment",829
"RCKI",2006,378.966455122393,NA,"Nonfarmproprietorsemployment",201926
"RCKI",2007,198.074675613775,"PRECTOT","Precipitation (mm day-1) ",278.14
"RCKI",2007,198.074675613775,"RH2M","Relative Humidity at 2 Meters (%) ",66.03
"RCKI",2007,198.074675613775,"T2M","Temperature at 2 Meters (C) ",13.74
"RCKI",2007,198.074675613775,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.5
"RCKI",2007,198.074675613775,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.06
"RCKI",2007,198.074675613775,"PS","Surface Pressure (kPa) ",98.91
"RCKI",2007,198.074675613775,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.92
"RCKI",2007,198.074675613775,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.6
"RCKI",2007,198.074675613775,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.41
"RCKI",2007,198.074675613775,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.71
"RCKI",2007,198.074675613775,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"RCKI",2007,198.074675613775,"WS10M","Wind Speed at 10 Meters (m/s) ",2.97
"RCKI",2007,198.074675613775,NA,"Populationpersons",1712026
"RCKI",2007,198.074675613775,NA,"Percapitapersonalincome",62558
"RCKI",2007,198.074675613775,NA,"Farmproprietorsincome",32235
"RCKI",2007,198.074675613775,NA,"Nonfarmproprietorsincome",7385560
"RCKI",2007,198.074675613775,NA,"Farmproprietorsemployment",878
"RCKI",2007,198.074675613775,NA,"Nonfarmproprietorsemployment",217987
"RCKI",2008,105.846118170636,"PRECTOT","Precipitation (mm day-1) ",435.18
